month,rsales,totpersinc,emplnonfarm,CPI,unempl,mortgrate,conscredit,govspend,houshfinasset
8-Jun,339708,12621.9,137245,217.24,8590,6.23,55513,2742784.442,48110456.3
8-Jul,337305,12497.8,137014,219.13,8953,6.21,55499.5892,2774038.609,47716246.99
8-Aug,335807,12528.1,136747,218.78,9489,6.25,55563.61203,2808115.846,47033146.56
8-Sep,329799,12513.9,136313,218.85,9557,5.73,56207.99999,2843524.397,45965302.8
8-Oct,315543,12456.2,135804,216.93,10176,6.05,57729.58276,2880394.267,44398731.82
8-Nov,304483,12352.4,135002,213,10552,5.67,59260.40565,2918297.881,42741258.51
8-Dec,295647,12211.5,134383,211.33,11344,4.61,59840.99998,2956830.384,41291198.4
9-Jan,300579,12075.7,133563,211.9,11984,4.41,58703.70233,2996207.26,40425951.75
9-Feb,299791,11945.2,132837,212.88,12737,4.68,56857.21916,3033489.441,40092977.94
9-Mar,294890,11872.2,132041,212.57,13278,4.44,54993.99998,3070191.672,40068062
9-Apr,295492,11887.2,131381,212.8,13734,4.4,54168.45017,3107149.057,40265210.16
9-May,298400,12043.9,130995,213.08,14512,4.58,53978.95817,3142674.722,40688660.61
9-Jun,303065,11901.2,130493,214.53,14776,5.15,53809.99999,3176372.539,41332762
9-Jul,303304,11862.5,130193,214.78,14663,4.92,53228.42186,3207806.206,42219806.87
9-Aug,311629,11868.5,129962,215.52,14953,4.95,52732.35905,3237027.406,43139253.37
9-Sep,303984,11891.4,129726,215.96,15149,4.72,53021,3262677.304,43837183.7
9-Oct,306248,11874.9,129505,216.45,15628,4.65,54501.63982,3284807.582,44209446.7
9-Nov,310161,11932.7,129450,216.96,15206,4.55,56249.79462,3303044.806,44383857.88
9-Dec,311924,12006.9,129320,217.16,15212,4.64,57210.99992,3316929.98,44605887.8
10-Jan,313304,12099.7,129281,217.46,14842,4.8,56509.11604,3326192.878,45015328.98
10-Feb,313681,12127.7,129246,217.56,14860,4.73,55040.38707,3330105.312,45362880.98
10-Mar,321187,12185.8,129438,217.61,14943,4.72,53516,3328724.896,45431757.2
10-Apr,322993,12271.9,129715,217.63,15138,4.85,52899.88493,3321490.18,45010309.08
10-May,320633,12343.8,130173,217.32,14884,4.55,52858.92439,3307842.806,44382948.49
10-Jun,320045,12361.2,129981,216.87,14593,4.38,52844.00001,3287440.786,44011982.71
10-Jul,320747,12409.2,129932,217.62,14637,4.05,52475.87421,3259793.676,44198965.13
10-Aug,324349,12472.8,129873,218.07,14849,3.8,52151.02478,3223902.968,44843398.37
10-Sep,327638,12477.7,129844,218.43,14746,3.84,52440.00001,3180510.211,45682553.6
10-Oct,332126,12546,130015,218.97,14876,3.71,53685.40852,3128616.896,46574491.5
10-Nov,334668,12561.8,130108,219.24,15041,3.94,55156.73305,3067903.728,47382162.43
10-Dec,336854,12625,130260,220.19,14485,4.47,56028.99998,2997857.571,48104279.9
